IdImdb	Title	ReleaseYear	Genres	ImdbRating	Votes
tt0086250	Scarface	1983	Crime,Drama	8.3	637252
tt1675434	The Intouchables	2011	Biography,Comedy,Drama	8.5	638533
tt3659388	The Martian	2015	Adventure,Drama,Sci-Fi	8.0	639639
tt0800369	Thor	2011	Action,Adventure,Fantasy	7.0	640448
tt1205489	Gran Torino	2008	Drama	8.1	649423
tt1119646	The Hangover	2009	Comedy	7.7	649880
tt0435761	Toy Story 3	2010	Adventure,Animation,Comedy	8.3	652242
tt1300854	Iron Man 3	2013	Action,Adventure,Sci-Fi	7.2	652805
tt0066921	A Clockwork Orange	1971	Crime,Drama,Sci-Fi	8.3	661370
tt1201607	Harry Potter and the Deathly Hallows: Part 2	2011	Adventure,Drama,Fantasy	8.1	661430
tt0416449	300	2006	Action,Fantasy	7.7	674097
tt0180093	Requiem for a Dream	2000	Drama	8.3	675220
tt0246578	Donnie Darko	2001	Drama,Sci-Fi,Thriller	8.1	677372
tt0264464	Catch Me If You Can	2002	Biography,Crime,Drama	8.1	678922
tt1454468	Gravity	2013	Drama,Sci-Fi,Thriller	7.7	679797
tt0078748	Alien	1979	Horror,Sci-Fi	8.5	684793
tt0095016	Die Hard	1988	Action,Thriller	8.2	692312
tt0208092	Snatch	2000	Comedy,Crime	8.3	695001
tt0088247	The Terminator	1984	Action,Sci-Fi	8.0	702113
tt0903624	The Hobbit: An Unexpected Journey	2012	Adventure,Family,Fantasy	7.9	703418
tt0401792	Sin City	2005	Crime,Thriller	8.0	705362
tt0198781	Monsters, Inc.	2001	Adventure,Animation,Comedy	8.1	706696
tt2267998	Gone Girl	2014	Crime,Drama,Mystery	8.1	723923
tt1010048	Slumdog Millionaire	2008	Drama,Romance	8.0	724441
tt0119217	Good Will Hunting	1997	Drama,Romance	8.3	733628
tt0477348	No Country for Old Men	2007	Crime,Drama,Thriller	8.1	734629
tt0268978	A Beautiful Mind	2001	Biography,Drama	8.2	739199
tt1392190	Mad Max: Fury Road	2015	Action,Adventure,Sci-Fi	8.1	739539
tt0081505	The Shining	1980	Drama,Horror	8.4	742448
tt0107290	Jurassic Park	1993	Adventure,Sci-Fi,Thriller	8.1	749212
tt0114709	Toy Story	1995	Adventure,Animation,Comedy	8.3	754857
tt2488496	Star Wars: The Force Awakens	2015	Action,Adventure,Fantasy	8.0	756649
tt1431045	Deadpool	2016	Action,Adventure,Comedy	8.0	768913
tt1392170	The Hunger Games	2012	Adventure,Sci-Fi,Thriller	7.2	776616
tt0082971	Raiders of the Lost Ark	1981	Action,Adventure	8.5	777006
tt0105236	Reservoir Dogs	1992	Crime,Drama,Thriller	8.3	789755
tt0110357	The Lion King	1994	Adventure,Animation,Drama	8.5	790232
